Input_Text,Accepted_Completion,Rejected_Completion
"What aspect of the hot tubs' operation contributed to the growth of Legionella, as noted in the CDC report?",Water temperature was maintained in a Legionella growth range.,Lack of sufficient water pressure contributed to the growth.
How did the CDC describe the initial maintenance practices of the private balcony hot tubs?,They lacked frequent draining and residual disinfectant.,They had excessive disinfectant levels.
What did both cruise ships do with the hot tubs after discovering the Legionella bacteria?,The hot tubs were closed and thoroughly cleaned.,The hot tubs were converted into saunas.
"By how much did the healthy lifespan of fruit flies increase due to the prevention of F-actin buildup, as reported in October 2024?",Their healthy lifespan increased by about 30%.,Their healthy lifespan increased by about 50%.
Which gene was specifically targeted to prevent F-actin accumulation in the fruit fly study?,The Fhos gene was targeted.,The Foxo gene was targeted.
"What key cellular process does F-actin accumulation interfere with, as discovered in the 2024 study?",F-actin accumulation interferes with autophagy.,F-actin accumulation interferes with mitosis.
What is the main role of the F-actin protein family within cells?,F-actin helps give cells their shape and structure.,F-actin transmits genetic information within cells.
In what journal was the study on the relationship between F-actin and fruit fly aging published?,It was published in Nature Communications.,It was published in Science Advances.
"In the study, what drug known to extend lifespan was also found to decrease F-actin buildup in fruit flies?",The drug is rapamycin.,The drug is metformin.
"According to the October 2024 study, what effect besides lifespan extension did reducing F-actin have on fruit flies?",It improved their cognitive function.,It increased their physical size.
Which institution’s lab conducted the study including Edward Schmid before he moved to Arkansas State University?,The study was conducted at David Walker’s lab at UCLA.,The study was conducted at John Smith’s lab at Stanford University.
What was the result of disabling autophagy in the brains of fruit flies from the study?,It did not slow aging in the absence of F-actin.,It completely halted aging processes.
Which organism served as the model for studying cognitive decline associated with F-actin in the October 2024 study?,The fruit fly was the model organism.,The mouse was the model organism.
What was found to correlate with both longer lifespan and reduced F-actin buildup in flies?,A restricted diet showed this correlation.,A high-sugar diet showed this correlation.
"According to the 2024 study, accumulated F-actin diminishes which specific function in neurons?",It diminishes neuronal functions.,It diminishes muscular functions.
Who funded the research into the effects of F-actin on brain aging and fruit fly health?,The research was funded by the National Institutes of Health’s National Institute on Aging.,The research was funded by the World Health Organization.
Where is Edward Schmid currently an investigator and assistant professor following his postdoctoral work?,He is at Arkansas State University.,He is at Harvard University.
"What does disrupting F-actin in aged brains restore, according to the research findings?",It restores brain autophagy to youthful levels.,It restores blood circulation to youthful levels.
"Within the 2024 study, what was used as evidence to establish the correlation between F-actin and aging?",Evidence included a restricted diet and drug treatments.,Evidence included increased genetic mutations.
In which county did eight commercial dairy operations test positive for bird flu?,Cache County.,Salt Lake County.
How many chickens were culled in Cache County due to a positive avian bird flu test earlier this month?,"An estimated 1,852,900 chickens.","An estimated 2,500,000 chickens."
When was bird flu first detected in a Texas dairy?,March.,February.
How many states has the bird flu spread to since its circulation in 2022?,14 states.,20 states.
How is bird flu often transmitted to domestic poultry?,By wild birds.,Through contaminated feed.
"According to the article, which animals were the initial primary carriers of bird flu in the United States?",Poultry and wild birds.,Domesticated dogs and cats.
What was detected in Cache County dairies that led to quarantine measures?,Bird flu.,Foot-and-mouth disease.
What illness were parents of Oak Hills High School students asked to monitor their children for in October 2024?,Whooping cough.,Scarlet fever.
As of when were parents of Oak Hills High School students asked to monitor their children for symptoms of whooping cough?,"Through November 16, 2024.","Until December 1, 2024."
How long after starting antibiotics are people with whooping cough contagious?,Five days.,Ten days.
What did the Oak Hills School District advise parents to do if their child is exhibiting symptoms of whooping cough?,Keep them home from school if they are sick.,Send them to the hospital immediately.
By what other name is whooping cough also known?,Pertussis.,Diptheria.
After how many weeks do whooping cough symptoms typically become more severe?,One to two weeks.,Three to four weeks.
When did the Oak Hills School District send the letter advising parents to monitor for whooping cough symptoms?,"Wednesday, October 2024.","Friday, November 2024."
What measure is suggested by the Oak Hills School District to mitigate the spread of whooping cough?,Monitor children for symptoms and keep them home if they are sick.,Vaccinate children immediately.
In what state did Oak Hills High School report a case of whooping cough in October 2024?,In California.,In Texas.
Which student group at Oak Hills High was primarily asked to be monitored for whooping cough symptoms?,High school students.,Elementary school students.
"According to the Oak Hills notification, during which month of 2024 should symptoms monitoring occur?",November.,December.
What was the primary mode of communication used by the Oak Hills district to inform parents about whooping cough in October 2024?,A letter.,A phone call.
Who were the recipients of the advisories about monitoring for whooping cough symptoms at Oak Hills High School?,Parents of high school students.,Teachers and staff only.
How many participants were involved in the study on the Mediterranean diet's effects on diabetes risk?,"12,575 participants.","10,000 participants."
What average age did the participants of the Mediterranean diet study have?,The average age was 43.,The average age was 35.
Which three food types were identified as having the greatest impact on reducing diabetes risk in the study?,"Fruit, fish, and nuts.","Vegetables, cheese, and poultry."
"As of 2021, how many people worldwide were living with type 2 diabetes?",Over half a billion people.,Over a quarter of a billion people.
What did researchers adjust for when analyzing the statistical outcomes of the Mediterranean diet study?,Demographic information like age and BMI.,Climate conditions.
Who first described seasonal affective disorder (SAD) in 1984?,Dr. Norman Rosenthal.,Dr. Paul Desan.
What is the recommended brightness level for light therapy used to treat SAD?,"10,000 lux.","5,000 lux."
In what year did researchers at the National Institutes of Health first coin the term SAD?,1984.,1994.
What type of cognitive therapy is noted for having more durable effects on SAD according to University of Vermont researcher Kelly Rohan?,Cognitive Behavioral Therapy (CBT).,Exposure Therapy.
Which light spectrum affects mood and alertness according to scientists studying SAD?,Blue wavelength.,Red wavelength.
"How much can special lights for SAD therapy cost, as mentioned in the article?",From $70 to $400.,From $150 to $600.
In which year was the dinosaur tail preserved in amber discovered by scientists?,The dinosaur tail was discovered in 2016.,The dinosaur tail was discovered in 2020.
Where was the dinosaur tail in amber discovered?,"It was discovered in Kachin State, Myanmar.","It was discovered in Sichuan Province, China."
Approximately how old is the dinosaur tail preserved in amber?,The tail is about 99 million years old.,The tail is about 65 million years old.
What features were preserved inside the amber along with the dinosaur tail?,"The amber preserved bones, soft tissue, and feathers.","The amber preserved claws, teeth, and skin."
What kind of vertebrate did Lida Xing initially identify inside the amber?,Xing identified it as a theropod vertebrate.,Xing identified it as a sauropod vertebrate.
Which institution was Lida Xing associated with?,Lida Xing was with the China University of Geosciences.,Lida Xing was with the Massachusetts Institute of Technology.
How much did the amber piece containing the dinosaur tail weigh?,It weighed 6.5 grams.,It weighed 12 grams.
Which museum is co-author Ryan McKellar affiliated with?,Ryan McKellar is affiliated with the Royal Saskatchewan Museum.,Ryan McKellar is affiliated with the Smithsonian National Museum.
On what date did NASA's Perseverance Mars rover capture a panoramic view of Jezero Crater?,"NASA's Perseverance captured the view on September 27, 2024.","NASA's Perseverance captured the view on October 1, 2024."
How many images did Perseverance use to stitch together its mosaic of Jezero Crater's interior?,The mosaic was stitched together from 44 images.,The mosaic was stitched together from 30 images.
When did Perseverance land at Jezero Crater on Mars?,Perseverance landed in February 2021.,Perseverance landed in January 2022.
"How many Martian days, also known as sols, into Perseverance's mission was the panoramic view of Jezero Crater captured?","The view was captured on the 1,282nd Martian day.","The view was captured on the 1,200th Martian day."
What early mission requirement did NASA set for the number of samples Perseverance should be capable of caching?,NASA set a requirement for caching at least 31 samples.,NASA set a requirement for caching at least 25 samples.
How many times has Perseverance ascended slopes of 20 degrees before this effort?,This is the first time Perseverance has traveled such a steep and slippery slope.,Perseverance has climbed 20-degree slopes ten times before.
"Which Mars rover's planner is also a ""driver"" for Perseverance?","Camden Miller, who was a rover planner for Curiosity, now serves the same role for Perseverance.","John Harris, who was a rover planner for Opportunity, now serves the same role for Perseverance."
What strategy proved most beneficial in enhancing traction for Perseverance on the slope?,Driving closer to the slope’s northern edge proved most beneficial.,Driving in reverse up the slope proved most beneficial.
"How many empty sample tubes does Perseverance currently have for sampling rock, excluding witness tubes?",Perseverance has 11 empty tubes for sampling rock.,Perseverance has 9 empty tubes for sampling rock.
"As of July 2024, how many kilometers has Perseverance driven on Mars?",Perseverance has driven over 30 kilometers.,Perseverance has driven over 40 kilometers.
What was the name of the sample site explored before “Witch Hazel Hill” according to the trajectory map?,"The sample site explored before was ""Cheyava Falls.""","The sample site explored before was ""Victoria Falls."""
What NASA mission included the launch of the Perseverance rover?,Perseverance was launched as part of the Mars 2020 mission.,Perseverance was launched as part of the Mars Exploration Rover mission.
Which Mars rover had climbed hills at least 10 degrees steeper than the slope Perseverance is tackling?,Both NASA’s Curiosity and Opportunity rovers had climbed hills at least 10 degrees steeper.,Only NASA’s Spirit rover had climbed hills at least 10 degrees steeper.
Which rover is responsible for capturing a time-lapse video while negotiating slippery terrain on October 15?,Perseverance used one of its navigation cameras to capture the video.,Curiosity used one of its navigation cameras to capture the video.
What mathematical theorem suggests that an infinite number of monkeys typing randomly will eventually reproduce Shakespeare's works?,The Infinite Monkey Theorem.,The Finite Chimpanzee Hypothesis.
"According to new research, what is the probability of reproducing Shakespeare's works by 200,000 chimps in a googol years?",6.4 x 10^-7448254.,1 x 10^-50000.
What scene and line from Hamlet are quoted to refute the feasibility of monkey labor replacing human creativity?,"Act 3, Scene 3, Line 87.","Act 5, Scene 1, Line 30."
What was the primary focus of the research conducted by Woodcock and Falletta on the Infinite Monkey Theorem?,Examining probabilities with finite monkeys and time.,Proving the theorem's infallibility.
Which paradox proposes that an object covering infinite fractions of a distance can never arrive at its destination?,Zeno's dichotomy paradox.,The Monty Hall paradox.
How does the Finite Monkey Theorem differ from the Infinite Monkey Theorem in its assumptions?,It assumes limited monkeys and time.,It assumes a faster typing speed and more advanced keyboards.
What is the primary function of Viridian Space Corp.’s propulsion system for VLEO?,To scoop up air for plasma thrusters.,To generate solar power for satellites.
From which organization did Rostislav Spektor previously manage the electric propulsion laboratory?,The Aerospace Corp.,NASA.
When did research on air-scooping electric propulsion initially begin?,In the 1960s.,In the 1980s.
What fuels the operation of satellites using air-breathing electric propulsion in VLEO?,Atmospheric drag compensation.,Solar wind collection.
By what year does Viridian Space Corp. plan to demonstrate its technology on a satellite in low-Earth orbit?,By 2027.,By 2026.
Where is Viridian Space Corp. based as of October 2024?,"El Segundo, California.","Palo Alto, California."
Who captured the ultra-closeup image of an ant's face that gained attention in the 2022 Small World Photomicrography Competition?,Lithuanian photographer Eugenijus Kavaliauskas.,American photographer Susan Smith.
What was the subject of Eugenijus Kavaliauskas's photograph that was honored in the 2022 Small World Photomicrography Competition?,"The face of a Camponotus, a common carpenter ant.",The heart of a hummingbird.
"In the 2022 Small World Photomicrography Competition, what distinction did Kavaliauskas's ant photograph receive?",It was honored as an 'Image of Distinction.',It was awarded first place overall.
What visual technique did Kavaliauskas use to enhance the details in his photograph of the ant's face?,A reflected light technique at 5x magnification.,Infrared photography at 10x magnification.
"What competition entry featured the embryonic hand of a Madagascar giant day gecko, winning the 2022 contest?",The image by Grigorii Timin and Michel Milinkovitch.,The image by Eugenijus Kavaliauskas.
How many photos in total were labeled as 'Images of Distinction' in the 2022 Small World Photomicrography Competition?,Fifty-six photos.,Thirty-two photos.
What alternate visual features in the ant photo appear as yellow teeth according to the Washington Post?,Very small 'trigger' hairs.,The ant's natural dentition.
What additional subjects were included among the 'Images of Distinction' in 2022 Small World Photomicrography Competition entries along with ants?,Mouse embryos and butterfly scales.,Human retinal cells and flower petals.
What publication first featured a version of the article about the ant photograph?,It was first published in October 2022.,It was first published in December 2023.
What insect is part of Eugenijus Kavaliauskas's photograph that gained a distinction in a 2022 competition?,"A Camponotus, or carpenter ant.","A Formica, or wood ant."
Where was the winning team of the 2022 Small World Photomicrography Competition based?,University of Geneva in Switzerland.,Massachusetts Institute of Technology in the USA.
In which year did Elon Musk reportedly start having regular conversations with Vladimir Putin?,The conversations reportedly started in 2022.,The conversations reportedly started in 2019.
Which space consultancy is Mandy Vaughn the CEO of?,Mandy Vaughn is the CEO of GXO.,Mandy Vaughn is the CEO of SpaceGate.
What did the Pentagon's Defense Science Board warn about in their report regarding the space industry?,They warned about the potential negative effects of vendor lock or dependence on a sole vendor.,They warned about the immediate threat of space debris from satellite collisions.
Who publicly voiced concern about Musk's alleged exchanges with Vladimir Putin?,NASA Administrator Bill Nelson voiced concern.,SpaceX COO Gwynne Shotwell voiced concern.
Which newspaper revealed that Musk and Putin have been having regular conversations since 2022?,The Wall Street Journal revealed this information.,The Washington Post revealed this information.
What did the Defense Science Board's report say a SpaceX monopoly could lead to?,It could lead to a stagnant and wasteful anticompetitive paradigm.,It could lead to a sudden drop in space exploration projects.
What type of satellites did SpaceX recently launch for the US government?,They launched next-gen spy satellites.,They launched weather monitoring satellites.
As CEO of which consultancy did Mandy Vaughn express concerns about SpaceX's market dominance?,She expressed concerns as CEO of GXO.,She expressed concerns as CEO of StarTech.
Which branch of the US government primarily utilizes SpaceX for space contracts?,Both NASA and the DoD primarily utilize SpaceX.,The Environmental Protection Agency (EPA) primarily utilizes SpaceX.
In what year was Jazmin Evans diagnosed with kidney disease?,Jazmin Evans was diagnosed in 2012.,Jazmin Evans was diagnosed in 2015.
How long was Jazmin Evans on the kidney transplant wait list before receiving her transplant?,She was on the wait list for four years.,She was on the wait list for two years.
"According to the 2024 report from the National Academies of Sciences, Engineering and Medicine, what misconception does the characterization of race contribute to in biomedical research?",It contributes to the “persistent misconception” of race science.,It contributes to the “persistent misconception” of global health science.
In which year did Jazmin Evans finally receive her kidney transplant?,She received her transplant in July 2023.,She received her transplant in July 2022.
How did Jazmin Evans describe her kidney’s function after the transplant?,She said it was working “perfectly fine” with “no signs of rejection.”,She said it was functioning poorly with “frequent rejection.”
How does Dr. M. Roy Wilson propose researchers handle the inclusion of race in algorithms?,With “careful deliberation” to decide if it’s “scientifically justified.”,Always include race without concern for scientific justification.
"What year does the report from the National Academies of Sciences, Engineering and Medicine date back to?",The report was published in 2024.,The report was published in 2023.
On what date did SpaceX launch a batch of 23 Starlink satellites in 2024?,"October 30, 2024.","November 5, 2024."
"From which launch site did SpaceX's Falcon 9 rocket lift off on October 30, 2024?",Cape Canaveral Space Force Station.,Vandenberg Space Force Base.
"How many Starlink satellites were launched by SpaceX on October 30, 2024?",23 Starlink satellites.,30 Starlink satellites.
"At what time did the Falcon 9 rocket lift off on October 30, 2024?",5:10 p.m. EDT (2110 GMT).,3:20 p.m. EDT (1910 GMT).
"Which droneship was used to recover the Falcon 9's first stage on October 30, 2024?","""A Shortfall of Gravitas.""","""Of Course I Still Love You."""
"As of October 2024, how many launches has SpaceX conducted using Falcon 9 rockets this year?",More than 100 Falcon 9 missions.,More than 200 Falcon 9 missions.
How many of SpaceX's Falcon 9 launches in 2024 were dedicated to the Starlink megaconstellation?,Approximately two-thirds.,Approximately one-third.
How many Starlink satellites were SpaceX operating in low Earth orbit as of October 2024?,"Nearly 6,500 satellites.","Nearly 5,000 satellites."
"How many times had the Falcon 9 booster used on October 30, 2024, been launched and landed prior to this mission?",It was the 14th launch and landing.,It was the 10th launch and landing.
How long after liftoff were the 23 Starlink satellites expected to be deployed in low Earth orbit?,About 64 minutes after liftoff.,About 30 minutes after liftoff.
"Who is the founder and CEO of SpaceX, the company behind the Starlink satellites?",Elon Musk.,Jeff Bezos.
"In which ocean was the droneship ""A Shortfall of Gravitas"" stationed during the October 30, 2024 launch?",The Atlantic Ocean.,The Pacific Ocean.
"How many Starlink batches have been launched by SpaceX in October 2024, including the one on October 30?",The article does not specify the number of batches in October.,Four batches in October.
What is the purpose of SpaceX's Starlink internet satellites?,To provide global internet coverage.,To support manned Mars missions.
What type of orbit are SpaceX's Starlink satellites deployed into?,Low Earth orbit (LEO).,Geostationary orbit (GEO).
How many engines are equipped on the first stage of the Falcon 9 rocket?,Nine engines.,Eleven engines.
What is the primary material used in the construction of Falcon 9's first stage?,Aluminum-lithium alloy.,Titanium-carbon fiber.
"When did Falcon 9's droneship landing occur after the October 30, 2024 launch?",About eight minutes after liftoff.,About twenty minutes after liftoff.
What was the nickname given to Comet C/2024 S1?,The Halloween Comet.,The Thanksgiving Comet.
When did Comet C/2024 S1 reach its perihelion?,"October 28, 2024, at 7:30 a.m. ET.","October 31, 2024, at 7:30 a.m. ET."
Which observatory captured the last moments of Comet C/2024 S1?,The Solar and Heliospheric Observatory (SOHO).,The Hubble Space Telescope.
What specific event caused Comet C/2024 S1 to disintegrate?,Its close approach to the Sun.,Its collision with an asteroid.
Which group of comets does Comet C/2024 S1 belong to?,Kreutz sungrazers.,Jupiter family comets.
"What was Comet C/2024 S1's closest approach distance to the Sun, relative to the Earth-Sun distance?",1% of the distance between Earth and the Sun.,10% of the distance between Earth and the Sun.
"Which other comet survived its perihelion on September 27, 2024?",Comet C/2023 A3 (Tsuchinan-Atlas).,Comet Halley.
From where was Comet C/2023 A3 discovered?,Tsuchinshan Observatory in China.,Keck Observatory in Hawaii.
What type of survey first spotted Comet C/2024 S1?,The ATLAS (Asteroid Terrestrial-impact Last Alert System) survey.,The Pan-STARRS survey.
What was Comet Ikeya-Seki's brightness magnitude when it survived its encounter with the Sun?,-11.,-5.
Which agency cooperated with NASA to observe Comet C/2024 S1?,The European Space Agency (ESA).,The Russian Federal Space Agency (Roscosmos).
Who was the starting pitcher for the Yankees in Game 5 of the 2024 World Series against the Dodgers?,Gerrit Cole was the starting pitcher for the Yankees.,Aaron Judge was the starting pitcher for the Yankees.
Which Dodgers player hit a leadoff single to break Gerrit Cole's no-hit bid in the fifth inning of Game 5?,Enrique Hernández hit the leadoff single.,Mookie Betts hit the leadoff single.
What was the final score of Game 5 in the 2024 World Series where the Yankees played the Dodgers?,The Dodgers won 7-6.,The Dodgers won 5-4.
What position in the baseball field does Anthony Volpe play?,Anthony Volpe plays as a shortstop.,Anthony Volpe plays as a catcher.
Who hit a two-run single to center field after the Yankees' fifth inning meltdown?,Freddie Freeman hit a two-run single.,Shohei Ohtani hit a two-run single.
What was the result of Gerrit Cole not covering first base on Mookie Betts' infield single?,Betts reached base without a throw.,Betts was thrown out at first.
How many errors did the Yankees commit in the fifth inning of the 2024 World Series Game 5?,The Yankees committed multiple defensive errors.,The Yankees committed no defensive errors.
How many days' rest did Gerrit Cole have before starting Game 5 of the 2024 World Series?,Gerrit Cole was pitching on four days' rest.,Gerrit Cole was pitching on three days' rest.
Which inning did Giancarlo Stanton's sacrifice fly give the Yankees a one-run lead again?,Stanton's sacrifice fly occurred in the sixth inning.,Stanton's sacrifice fly occurred in the eighth inning.
What was Aaron Judge's milestone in the first inning of Game 5 of the World Series?,Judge hit his first career World Series home run.,Judge hit his first career postseason triple.
Which Dodgers player benefited from Austin Wells' catcher's interference in Game 5?,Shohei Ohtani benefited from the interference.,Freddie Freeman benefited from the interference.
In which inning did Gerrit Cole leave Game 5 with the Yankees leading?,Cole left in the seventh inning with the Yankees leading.,Cole left in the fifth inning with the Yankees leading.
Which player made an infield single against Tommy Kahnle in the eighth inning to spark the Dodgers' rally?,Enrique Hernández made the infield single.,Will Smith made the infield single.
Which team did Freddie Freeman hit a walk-off grand slam against in Game 1 of the 2024 World Series?,The New York Yankees.,The Atlanta Braves.
Which Dodgers player was known for a memorable walk-off Game 1 homer against Dennis Eckersley?,Kirk Gibson.,Sandy Koufax.
Against which pitcher did Freddie Freeman hit a walk-off grand slam in Game 1 of the 2024 World Series?,Nestor Cortes.,Gerrit Cole.
How many World Series games did Freddie Freeman homer in consecutively in 2024?,He homered in six straight World Series games.,He homered in four straight World Series games.
Which team did Freddie Freeman play for when he won his first MVP award in 2020?,Atlanta Braves.,Los Angeles Dodgers.
How many times has Freddie Freeman been selected as an All-Star by 2024?,Eight times.,Ten times.
What is the name of the award Freddie Freeman won after the 2024 World Series?,Willie Mays World Series MVP award.,Cy Young Award.
In which year did Freddie Freeman win his first World Series championship before 2024?,2021.,2019.
Which Dodgers player caught the near-home run hit by Freddie Freeman in Game 5 of the 2024 World Series?,Aaron Judge.,Cody Bellinger.
Who was the Yankees starter that Freddie Freeman hit a solo home run off in Game 2 of the 2024 World Series?,Carlos Rodón.,Luis Severino.
In what inning did Freeman hit a two-run homer off Clarke Schmidt in Game 3 of the 2024 World Series?,The first inning.,The seventh inning.
How did Freddie Freeman contribute to the Dodgers' win in Game 4 of the 2024 World Series?,He hit a lined two-run shot.,He pitched a shutout inning.
Who was the last Dodgers player before Freeman to win the World Series MVP award?,Corey Seager.,Clayton Kershaw.
Against which pitcher did Freeman drive in two runs with a single in the Game 5 clincher of the 2024 World Series?,Luis Gil.,Gerrit Cole.
How many Dodgers players have won the World Series MVP before Freddie Freeman?,Nine Dodgers players.,Seven Dodgers players.
Who captured the iconic catch at the wall that almost extended Freeman's World Series home run streak in 2024?,Aaron Judge.,Mookie Betts.
On what date did LeBron and Bronny James first play together in an NBA game?,"October 22, 2024.","October 29, 2024."
"How many points did LeBron James score against the Cavaliers on October 30, 2024?",26 points.,34 points.
Where was Bronny James's first NBA regular-season basket scored from?,A 14-foot jump shot.,A 3-point shot.
When did the Cavaliers win their only championship in franchise history?,In 2016.,In 2018.
"What was the final score of the Lakers vs. Cavaliers game on October 30, 2024?",The Cavaliers won 134-110.,The Lakers won 110-134.
How many assists did Bronny James record in his first NBA regular-season game?,Two assists.,Four assists.
How many seasons has LeBron James played with the Lakers as of October 2024?,Seven seasons.,Five seasons.
Which university did Bronny James attend before entering the NBA?,The University of Southern California.,Duke University.
Against which team did the Lakers open the 2024-25 regular season?,The Minnesota Timberwolves.,The Chicago Bulls.
In what year was LeBron James first drafted by the Cavaliers?,In 2003.,In 2004.
"How many rebounds did LeBron James grab in the October 30, 2024 game against the Cavaliers?",Six rebounds.,Nine rebounds.
What is the name of the Cavaliers' home arena where LeBron James had his homecoming in October 2024?,Rocket Mortgage FieldHouse.,Quicken Loans Arena.
How old was Bronny James when he made his first scoring play in the NBA?,20 years old.,19 years old.
For which team did LeBron James play in the seasons from 2010 to 2014?,The Miami Heat.,The Cleveland Cavaliers.
How many NBA seasons has LeBron James completed as of October 2024?,22 seasons.,20 seasons.
"What was special about the game between the Lakers and Cavaliers on October 30, 2024, according to Cavs coach Kenny Atkinson?","It featured a father-son duo playing together, LeBron and Bronny James.",It was the final game of LeBron James's career.
"Which newspaper featured a headline reading ""No. 1 in The World. Ohtani beats the Yankees"" following the Dodgers' World Series win?",Sports Nippon.,Asahi Shimbun.
How many special edition newspapers were printed in Iwate Prefecture following Ohtani's World Series victory?,"About 38,000.","About 50,000."
What site in Tokyo was noted for fans gathering to pick up newspaper handouts celebrating Ohtani's success?,Ginza shopping area.,Shibuya crossing.
"Where is Shohei Ohtani's hometown, which celebrated his World Series win?",Oshu City.,Nagoya City.
In what year did Japan defeat the United States in the World Baseball Classic final in Miami?,Last year.,Two years ago.
"What phrase did Hideki Shinohara, a hardcore fan, use to describe Ohtani's impact beyond 'amazing'?","""You need to invent a new word.""","""An extravagant genius."""
Which major U.S. city hosted the World Baseball Classic final where Japan defeated the United States?,Miami.,Los Angeles.
On which day did the New York Yankees' season end with a loss to the Los Angeles Dodgers in the World Series?,Wednesday night.,Thursday night.
Which team did Juan Soto play for before entering free agency?,The New York Yankees.,The Boston Red Sox.
Juan Soto is represented by which super agent?,Scott Boras.,Scott Sanders.
How did the New York Yankees season conclude in their series against the Los Angeles Dodgers?,With a loss in World Series Game 5.,With a victory in World Series Game 6.
Which milestone birthday did Juan Soto recently celebrate before the free agency discussions?,His 26th birthday.,His 30th birthday.
What was the outcome of the 2024 World Series Game 5 between the Yankees and the Dodgers?,The Dodgers won the game 7-6.,The Yankees won the game 7-6.
Which Yankees player made a throwing error that allowed Enrique Hernández to reach third base during Game 5 of the 2024 World Series?,Anthony Volpe made the throwing error.,Aaron Judge made the throwing error.
How did Aaron Judge perform defensively during the fifth inning of Game 5 of the 2024 World Series?,Aaron Judge made an error on a routine fly ball to center.,Aaron Judge made a spectacular diving catch in center.
Who was the World Series MVP in 2024?,Freddie Freeman was the World Series MVP.,Mookie Betts was the World Series MVP.
What critical play did Anthony Rizzo fail to complete in Game 5 of the 2024 World Series?,Anthony Rizzo failed to make an unassisted play at first base.,Anthony Rizzo failed to hit a home run in the final inning.
Which Yankees player hit a two-run homer in the first inning of Game 5 in the 2024 World Series?,Aaron Judge hit a two-run homer.,Gerrit Cole hit a two-run homer.
What was the Yankees' win-loss record against the AL Central in the 2024 regular and postseason?,The Yankees' record was 31-9.,The Yankees' record was 25-15.
Which Dodgers player scored on a throwing error during the fifth inning of Game 5 in the 2024 World Series?,Enrique Hernández scored on the error.,Mookie Betts scored on the error.
How many walks did the Yankees draw from the second to eighth innings in Game 5 of the 2024 World Series?,The Yankees drew eight walks.,The Yankees drew five walks.
Which team won their eighth World Series title in 2024?,The Los Angeles Dodgers won their eighth title.,The New York Yankees won their eighth title.
Who made a backhanded catch to rob Freddie Freeman of an RBI double in Game 5 of the 2024 World Series?,Aaron Judge made the backhanded catch.,Giancarlo Stanton made the backhanded catch.
What was the error made by Aaron Judge in 2024 that contributed to the Dodgers' World Series Game 5 win?,Aaron Judge dropped a routine fly ball.,Aaron Judge overthrew second base on a double play attempt.
What caused a catcher’s interference in the eighth inning of Game 5 of the 2024 World Series?,Austin Wells caused the catcher’s interference.,Gary Sánchez caused the catcher’s interference.
"In the 2024 World Series, how many games did it take for the Dodgers to finish the Yankees?",The series ended in five games.,The series ended in seven games.
"Which Dodgers player did Aaron Judge successfully rob of an RBI double with a brilliant defensive play in Game 5, 2024?",Aaron Judge robbed Freddie Freeman.,Aaron Judge robbed Enrique Hernández.
"Who pitched the eighth inning yielding two sacrifice flies that gave the Dodgers the lead in Game 5, 2024?",Luke Weaver was on the mound.,Gerrit Cole was on the mound.
"How many rounds have the Yankees won against their World Series opponents since 2017, prior to the 2024 season?",The Yankees have won one round.,The Yankees have won three rounds.
Who caught Gleyber Torres' pop fly in the first inning of Game 4 of the World Series?,Mookie Betts.,Teoscar Hernández.
For what reason were two New York Yankees fans ejected from Game 4 of the World Series?,For interfering with Los Angeles Dodgers right fielder Mookie Betts.,For running onto the field during the game.
What item did the fan in the gray Yankees jersey grab from Mookie Betts during Game 4?,Betts' glove.,Betts' cap.
Why was Calvin Young unable to attend a kids-only news conference at Yankee Stadium in September?,Due to marking Childhood Cancer Awareness Month.,Due to attending a family wedding.
What was the response of the Yankees to the fan interference incident during Game 4?,They banned the involved fans from Game 5.,They suspended the entire group of season-ticket holders.
Which Dodgers player hit a two-run homer in Game 4 that gave Los Angeles an early lead?,Freddie Freeman.,Cody Bellinger.
What date was Game 5 of the World Series scheduled for after the fans were banned?,"Wednesday, October 30, 2024.","Thursday, October 31, 2024."
What had happened to Alex Verdugo while playing for the Red Sox at Yankee Stadium three years prior?,He was struck by a ball thrown from the seats.,He was involved in a verbal altercation with fans.
What did the Major League Baseball Players Association focus on after the interference incident?,Player safety and security.,Increasing ticket sales.
How long after Inquisition was Dragon Age: Veilguard released?,Almost ten years.,Five years.
What is cited as a reason for animation quirks propagating through Bioware games?,Asset reuse.,Advanced AI customization.
When is the Apple Vision Pro set to launch in South Korea and the UAE?,"November 15, 2024.","November 22, 2024."
"As of October 2024, how many countries will the Apple Vision Pro be available in with the new launch?",12 countries.,15 countries.
What is the starting price of the Apple Vision Pro in the US?,"$3,500.","$2,800."
Which two countries are included in the Apple Vision Pro launch announced for November 2024?,South Korea and the United Arab Emirates.,Japan and Saudi Arabia.
What significant Apple product was launched just a week before the Apple Vision Pro in November 2024?,The new M4 Macs.,The new M5 Macs.
What platform did Greg Joswiak use to announce the Apple Vision Pro expansion?,X (formerly known as Twitter).,Facebook.
What did analysts estimate the production capacity for the Apple Vision Pro headsets to be by the end of 2024?,"Up to 600,000 headsets.","Up to 1,000,000 headsets."
"According to Apple CEO Tim Cook, how is the Apple Vision Pro categorized in terms of market reach?",It is not a mass-market product.,It is a mass-market product.
"As of the 2024 announcement, which company's inventory is reported to be sufficient to meet the demand for the Apple Vision Pro?",Apple.,Samsung.
What is the name of Apple's marketing chief who made the launch announcement?,Greg Joswiak.,Phil Schiller.
In which month did Apple originally launch the Vision Pro exclusively in the US?,February 2024.,March 2024.
